,mean,min,max
simTicks,10262325777.777779,9889126000.0,10847636000.0
L1D_hit_rate,0.9737974164570824,0.9248655297119674,0.9981587208341748
L2D_hit_rate,0.5085901892938474,0.0015082956259426,0.9679045864442936
