M_Size,L1D_size,L2D_size,L1_assoc,L2_assoc,simTicks,L1D_hit_rate,L2D_hit_rate
64,64kB,256kB,8,4,9889126000,0.9981587208341748,0.0015082956259426848
64,64kB,256kB,8,8,9889126000,0.9981587208341748,0.0015082956259426848
64,64kB,256kB,8,16,9889126000,0.9981587208341748,0.0015082956259426848
64,64kB,512kB,2,4,9891447000,0.9980779468727626,0.044733044733044736
64,64kB,512kB,2,8,9891447000,0.9980779468727626,0.044733044733044736
64,64kB,512kB,2,16,9891447000,0.9980779468727626,0.044733044733044736
64,64kB,512kB,4,4,9889126000,0.9981550492904742,0.003762227238525207
64,64kB,512kB,4,8,9889126000,0.9981550492904742,0.003762227238525207
64,64kB,512kB,4,16,9889126000,0.9981550492904742,0.003762227238525207
64,64kB,512kB,8,4,9889126000,0.9981587208341748,0.0015082956259426848
64,64kB,512kB,8,8,9889126000,0.9981587208341748,0.0015082956259426848
64,64kB,512kB,8,16,9889126000,0.9981587208341748,0.0015082956259426848
64,64kB,1024kB,2,4,9891447000,0.9980779468727626,0.044733044733044736
64,64kB,1024kB,2,8,9891447000,0.9980779468727626,0.044733044733044736
64,64kB,1024kB,2,16,9891447000,0.9980779468727626,0.044733044733044736
64,64kB,1024kB,4,4,9889126000,0.9981550492904742,0.003762227238525207
64,64kB,1024kB,4,8,9889126000,0.9981550492904742,0.003762227238525207
64,64kB,1024kB,4,16,9889126000,0.9981550492904742,0.003762227238525207
64,64kB,1024kB,8,4,9889126000,0.9981587208341748,0.0015082956259426848
64,64kB,1024kB,8,8,9889126000,0.9981587208341748,0.0015082956259426848
64,64kB,1024kB,8,16,9889126000,0.9981587208341748,0.0015082956259426848
