,mean,min,max
simTicks,1477031092.5925925,1476500000.0,1477703000.0
L1D_hit_rate,0.9583782837190875,0.9008815009320398,0.9903037783218488
L2D_hit_rate,0.49501880910488044,0.0028469750889679,0.9655214754058102
